"YaPhpDoc does not support this feature yet.","YaPhpDoc does not support this feature yet."
"Verbose mode is enabled","Verbose mode is enabled"
"Notice","Notice"
"Warning","Warning"
"Fatal error","Fatal error"
"Files to parse :","Files to parse :"
"%s does not seem to be a file or a directory, ignoring","%s does not seem to be a file or a directory, ignoring"
"Start parsing","Start parsing"
"Stop parsing (time : %f, memory: %s, max: %s)","Stop parsing (time : %f, memory: %s, max: %s)"
"Autoloader is not defined or configurated.","Autoloader is not defined or configurated."
" in %s at line %d"," in %s at line %d"
